provider,run,Count,Passed,Failed,Error,Skipped,PassRate,Accuracy,ErrorRate,TotalDuration,MedianDuration,StddevDuration,TotalInputTokens,MedianInputTokens,StddevInputTokens,TotalOutputTokens,MedianOutputTokens,StddevOutputTokens,TotalReasoningTokens,MedianReasoningTokens,StddevReasoningTokens,TotalCacheReadTokens,MedianCacheReadTokens,StddevCacheReadTokens,TotalCacheWriteTokens,MedianCacheWriteTokens,StddevCacheWriteTokens,TotalToolCalls,MedianToolCalls,StddevToolCalls,TransientErrors,ResponseParsingErrors,EstimatedCandidateCost,CandidateCostCurrency
alibaba,Qwen3.7 Plus - latest (thinking),4,3,1,0,0,75.00,75.00,0.00,1m1.6382334s,15.79219225s,5.47807224s,5722,1388.50,327.45,3055,820.00,379.67,,,,,,,,,,,,,0,0,,
anthropic,Claude 4.5 Sonnet - latest (extended thinking),4,2,2,0,0,50.00,50.00,0.00,19m14.2759972s,3m53.961842s,4m23.772884656s,130750,5202.00,48064.74,21681,1900.00,6354.68,6579,1004.00,1199.78,0,0.00,0.00,0,0.00,0.00,13,1.00,3.90,0,0,0.717465,USD
deepseek,"DeepSeek V4 Pro - latest (thinking, max effort)",2,1,0,1,2,50.00,100.00,50.00,42.8625433s,21.43127165s,12.23850415s,2441,1220.50,101.50,2453,1226.50,631.50,2075,1037.50,463.50,1280,640.00,640.00,,,,,,,0,1,0.011303,USD
google,Gemini 3.6 Flash - latest (high thinking),4,2,2,0,0,50.00,50.00,0.00,3m47.7485288s,37.72742445s,45.517506983s,128764,30752.00,25707.53,40564,5866.50,8945.09,28829,3170.50,7638.34,15778,0.00,6832.07,,,,23,5.50,3.77,0,0,0.238038,USD
mistralai,Mistral Medium 3.5 - latest (high reasoning),4,0,0,4,0,0.00,0.00,100.00,33m12.7284444s,5m48.75294195s,4m45.020427601s,87392,2834.00,34260.65,317958,67066.00,22436.28,,,,24594,0.00,10649.51,,,,3,1.50,0.50,0,4,2.515773,USD
moonshotai,Kimi K3 - latest (max reasoning),4,4,0,0,0,100.00,100.00,0.00,6m55.9288255s,1m41.31126385s,1m22.691187132s,23571,1209.00,8255.19,17968,4129.50,3627.82,,,,,,,,,,3,,,0,0,,
openai,GPT-5.6 Luna - latest (high reasoning),4,3,1,0,0,75.00,75.00,0.00,3m28.6884891s,15.3604533s,1m9.693974711s,72324,956.00,29791.42,25895,1601.00,9136.34,21675,1506.50,7462.15,56896,0.00,24636.69,12749,0.00,5520.48,10,,,0,0,0.035935,USD
openrouter,OpenAI GPT-5.2 (xhigh reasoning),4,3,1,0,0,75.00,75.00,0.00,13m47.4269385s,2m19.5764465s,3m31.765955847s,299943,73051.50,74205.89,65149,11545.00,16534.53,47269,6939.00,12927.22,220288,54272.00,55083.62,0,0.00,0.00,20,10.00,0.00,0,0,1.090033,USD
xai,Grok 4.5 - latest (reasoning),4,3,1,0,0,75.00,75.00,0.00,2m47.4453674s,14.59117805s,52.631147407s,6479,1563.50,234.56,7164,743.50,2123.52,6446,530.50,2122.61,1536,384.00,0.00,,,,,,,0,0,0.053331,USD
